"","X","Participant","imp","Val","Condition","group","in_samples","out_samples","firstSample","In.Est","Out.Est"
"721",721,"R_2hlkcTFwjBsnjNf","negIngroup","neg",3,"rep",7,6,0,65,53
"722",722,"R_2n6zYjw50t1AHol","negIngroup","neg",2,"rep",4,4,0,61,63
"723",723,"R_2PBS5UHjaCpDEDC","negIngroup","neg",2,"rep",4,3,0,60,65
"724",724,"R_2Pj4aJldPlUBswj","posOutgroup","pos",2,"rep",9,15,0,66,68
"725",725,"R_2pRnxA9lDl0YRzc","posIngroup","pos",2,"rep",4,5,0,65,65
"726",726,"R_2q1nUglKFKiY9LT","negIngroup","neg",2,"rep",5,0,0,62,61
"727",727,"R_2q8iWJkfVel3ISm","negIngroup","neg",3,"rep",6,6,0,79,52
"728",728,"R_2q8V1TzmJ3Dcyzn","negIngroup","neg",3,"rep",5,5,0,70,65
"729",729,"R_2qdwxLH5Hm4nyBc","posOutgroup","pos",1,"rep",8,0,0,67,56
"730",730,"R_2QEUE0qQomjtGgi","posOutgroup","pos",1,"rep",5,5,1,55,69
"731",731,"R_2QG0o7xkwGZeFle","negIngroup","neg",3,"rep",1,1,1,58,61
"732",732,"R_2QiKTyAcDCI1PGf","posOutgroup","pos",3,"rep",3,3,0,70,55
"733",733,"R_2qqOrnOoK3pqZPy","posIngroup","pos",2,"rep",2,2,1,80,58
"734",734,"R_2QsV9TVHZzoHkjw","negIngroup","neg",2,"rep",6,1,0,54,62
"735",735,"R_2QWpjmsixfkHbsf","posIngroup","pos",2,"rep",3,3,0,65,67
"736",736,"R_2QxDIHIzWC07T10","negOutgroup","neg",1,"rep",8,8,0,62,64
"737",737,"R_2QzmHjUWRARA8Kw","posIngroup","pos",3,"rep",5,5,0,86,58
"738",738,"R_2RaCHZMFZrc90iQ","posIngroup","pos",1,"rep",2,2,0,50,70
"739",739,"R_2rHGYTKZ7KBUNMh","negOutgroup","neg",2,"rep",4,4,1,40,40
"740",740,"R_2robSJCtMKRXXj5","negOutgroup","neg",3,"rep",8,0,1,60,67
"741",741,"R_2Sie5bna5YFblR4","negIngroup","neg",1,"rep",1,1,1,58,81
"742",742,"R_2SJP4j8Up0nP0YY","negOutgroup","neg",1,"rep",5,2,1,68,74
"744",744,"R_2sTsYdOYQKxiTNV","posOutgroup","pos",2,"rep",2,2,0,67,69
"745",745,"R_2t0dWIkm4nlnU2Y","posOutgroup","pos",3,"rep",3,3,1,48,82
"746",746,"R_2t5pGRCcLSeNPxO","posIngroup","pos",3,"rep",4,3,0,69,60
"747",747,"R_2tbbQ9mxbBTWecO","posOutgroup","pos",3,"rep",3,3,0,78,53
"748",748,"R_2tGqIHf3Zwb9cbA","negOutgroup","neg",3,"rep",3,3,1,75,61
"749",749,"R_2trOo4VpyshqXRb","negIngroup","neg",1,"rep",5,5,1,71,65
"750",750,"R_2U4QmKpievlEBd2","negOutgroup","neg",3,"rep",3,4,0,84,57
"751",751,"R_2uD7sxlJHa5XDAJ","posOutgroup","pos",3,"rep",24,0,0,68,60
"752",752,"R_2uHEiKIA4S5jpp2","posIngroup","pos",3,"rep",3,2,0,66,63
"753",753,"R_2UhHltQnjQB4zND","posOutgroup","pos",1,"rep",2,2,0,86,72
"754",754,"R_2uPrxbK15UynJbc","posOutgroup","pos",1,"rep",6,3,1,67,76
"755",755,"R_2uWF9gT2sjWGDLf","negIngroup","neg",1,"rep",1,0,1,55,64
"756",756,"R_2uX9YZWuk00DbrI","posOutgroup","pos",1,"rep",0,7,0,68,56
"757",757,"R_2vcYEx5oZseAtqZ","negOutgroup","neg",1,"rep",0,1,0,77,46
"758",758,"R_2VO8eCmMxQT6Mnz","posIngroup","pos",2,"rep",2,2,0,75,43
"759",759,"R_2Vyj5Ug9YcIA6cr","posOutgroup","pos",1,"rep",2,8,0,42,76
"761",761,"R_2wAhKqBnB0rubPc","posIngroup","pos",1,"rep",5,4,0,92,70
"762",762,"R_2wBUI1xPtwvtt0w","negIngroup","neg",2,"rep",9,7,0,76,67
"763",763,"R_2wM6NPatPj67foa","posIngroup","pos",2,"rep",1,2,0,87,86
"765",765,"R_2wt8dpi4eataaRP","posIngroup","pos",2,"rep",1,1,0,55,65
"766",766,"R_2X0qc0XwH98mrlM","posIngroup","pos",2,"rep",33,17,1,70,53
"767",767,"R_2X4FkwW5p7jeTqg","posIngroup","pos",3,"rep",4,4,0,63,59
"768",768,"R_2XaeX5D79f42hCX","negOutgroup","neg",2,"rep",20,30,1,18,20
"769",769,"R_2y32Xr32D7W3GhK","posOutgroup","pos",3,"rep",6,6,0,60,60
"770",770,"R_2y3YoH482Pp0lW2","negOutgroup","neg",2,"rep",2,0,0,85,78
"771",771,"R_2y76Ore1RPJhbrU","negIngroup","neg",3,"rep",6,3,0,86,38
"772",772,"R_2ya1ndRRF2ZXFKw","negOutgroup","neg",2,"rep",1,0,0,36,47
"773",773,"R_2YDJ3klpfYkFOqR","negOutgroup","neg",3,"rep",11,3,0,61,72
"774",774,"R_2yse6TNPVJIlvNc","negIngroup","neg",2,"rep",0,11,1,53,65
"775",775,"R_2YtFNgCzcQn1nRx","posIngroup","pos",3,"rep",8,8,0,65,51
"776",776,"R_2ziiMo9dN6ZA5R4","negIngroup","neg",1,"rep",6,6,1,55,50
"777",777,"R_2zklKZ3uQXTGFfN","posIngroup","pos",1,"rep",5,4,1,65,65
"778",778,"R_2zPiS8tIBxEtEZt","posOutgroup","pos",2,"rep",2,2,0,66,66
"779",779,"R_2ztG2mErOuF3ul5","posOutgroup","pos",2,"rep",3,4,0,87,71
"780",780,"R_2ZWHnmM90jTSXU0","posIngroup","pos",1,"rep",3,0,1,51,66
"781",781,"R_302gMdGmUbKr8bE","posOutgroup","pos",1,"rep",1,1,0,70,50
"782",782,"R_30uxk8vEbntFB79","negOutgroup","neg",2,"rep",3,3,0,72,64
"783",783,"R_31Fci76x37JfLNH","posOutgroup","pos",1,"rep",5,5,0,76,58
"784",784,"R_31gFYngP3UIOI5v","negOutgroup","neg",1,"rep",13,13,0,73,93
"785",785,"R_31o0JBqUfCGjBgd","posOutgroup","pos",2,"rep",6,7,0,70,81
"786",786,"R_325B3AZzlIj3mPN","negIngroup","neg",1,"rep",1,1,1,75,65
"787",787,"R_32K0ArUrtQ14fkN","negOutgroup","neg",3,"rep",5,5,0,86,51
"788",788,"R_33BG9W7M98oYcjS","posIngroup","pos",3,"rep",0,3,0,72,65
"789",789,"R_3CDG7ymyFMezt2S","negOutgroup","neg",2,"rep",5,5,0,60,60
"790",790,"R_3CEhY1CzVr2uQCH","posOutgroup","pos",2,"rep",0,1,0,50,72
"791",791,"R_3CTmejwJXiT1NEt","posOutgroup","pos",2,"rep",4,4,0,77,39
"792",792,"R_3DBUoOrxz88dF5L","posOutgroup","pos",1,"rep",3,3,0,50,63
"793",793,"R_3DcjqbFnCJakg1Y","negIngroup","neg",2,"rep",0,2,0,63,54
"794",794,"R_3DiquXsHk8PkvAw","posOutgroup","pos",2,"rep",3,4,0,76,60
"795",795,"R_3DjOwhw24j2Ak9F","negIngroup","neg",1,"rep",6,6,0,72,72
"796",796,"R_3DqCO7hDegnvBnt","posIngroup","pos",2,"rep",5,6,0,78,63
"797",797,"R_3dY2o28Wm7aIB8t","posOutgroup","pos",1,"rep",0,5,0,50,71
"798",798,"R_3dYUOtG0hNueT9N","negOutgroup","neg",1,"rep",4,0,1,74,67
"799",799,"R_3dZ0aZk8h3MAoqx","negOutgroup","neg",3,"rep",9,5,1,93,100
"800",800,"R_3e4SVmIYjzly19T","posIngroup","pos",3,"rep",3,1,0,67,77
"801",801,"R_3eazpNepxmMRTIc","posOutgroup","pos",1,"rep",5,5,0,91,60
"802",802,"R_3egCwNDK2qrbQKq","negOutgroup","neg",2,"rep",3,0,1,88,70
"803",803,"R_3EiZ4THQAMF6k13","negIngroup","neg",2,"rep",2,2,1,72,60
"804",804,"R_3envJBvQrp7Az35","negOutgroup","neg",1,"rep",4,4,0,75,50
"805",805,"R_3er9iWBnnoGvqWW","negOutgroup","neg",1,"rep",4,4,0,64,69
"806",806,"R_3Esys7ohR0SvTuJ","negOutgroup","neg",3,"rep",6,5,1,77,70
"807",807,"R_3etrdJF6LRTCXEC","posIngroup","pos",1,"rep",2,5,1,60,67
"808",808,"R_3EXTD11z0zf2suA","negIngroup","neg",3,"rep",2,2,1,73,60
"809",809,"R_3fxFjNGsCiHZp6c","posIngroup","pos",2,"rep",4,4,1,61,71
"810",810,"R_3G3xFKo3K5ybPrw","posOutgroup","pos",2,"rep",0,26,0,63,63
"811",811,"R_3G6OMsNxV7YMs0L","posOutgroup","pos",3,"rep",6,6,0,65,60
"812",812,"R_3Gj3w9zY4TR6JBE","posOutgroup","pos",3,"rep",2,0,0,55,59
"813",813,"R_3gNkY6302hvSRBj","posOutgroup","pos",1,"rep",0,4,0,70,83
"814",814,"R_3gRukVI4ApgtX7J","posIngroup","pos",1,"rep",4,3,0,63,75
"815",815,"R_3Gwi0AdT0I9tbKq","negIngroup","neg",1,"rep",2,1,0,63,75
"816",816,"R_3GxNHNCx6CuXeoo","posIngroup","pos",2,"rep",5,8,0,54,64
"817",817,"R_3HAEywWeekr7W84","posOutgroup","pos",3,"rep",5,5,0,71,63
"818",818,"R_3hF29QOoPJTnU9n","posIngroup","pos",3,"rep",2,2,0,74,51
"819",819,"R_3hG8bdobk1IZmD3","negOutgroup","neg",1,"rep",2,1,0,60,65
