Participant,Att,PolAffil,,,,,
290,0,"Neither liberal nor conservative

4",,,,,
291,0,"Neither liberal nor conservative

4",,,,,
292,0,"Neither liberal nor conservative

4",,,,,
293,0,"Neither liberal nor conservative

4",,,,,
294,0,"Neither liberal nor conservative

4",,,,,
295,0,"Neither liberal nor conservative

4",,,,,
296,0,"Neither liberal nor conservative

4",,,,,
297,0,"Neither liberal nor conservative

4",,,,,
298,0,"Neither liberal nor conservative

4",,,,,
299,0,"Neither liberal nor conservative

4",,,,,
300,0,"Neither liberal nor conservative

4",,,,,
301,0,"Neither liberal nor conservative

4",,,,,
302,0,"Neither liberal nor conservative

4",,,,,
303,0,"Neither liberal nor conservative

4",,,,,
304,0,"Neither liberal nor conservative

4",,,,,
305,0,"Neither liberal nor conservative

4",,,,,
306,0,"Neither liberal nor conservative

4",,,,,
307,0,"Neither liberal nor conservative

4",,,,,
308,0,"Neither liberal nor conservative

4",,,,,
309,0,"Neither liberal nor conservative

4",,,,,
310,0,"Neither liberal nor conservative

4",,,,,
311,0,"Neither liberal nor conservative

4",,,,,
312,0,"Neither liberal nor conservative

4",,,,,
313,0,"Neither liberal nor conservative

4",,,,,
314,0,"Neither liberal nor conservative

4",,,,,
315,0,"Neither liberal nor conservative

4",,,,,
316,0,"Neither liberal nor conservative

4",,,,,
317,0,"Neither liberal nor conservative

4",,,,,
318,0,"Neither liberal nor conservative

4",,,,,
319,0,"Neither liberal nor conservative

4",,,,,
320,0,"Neither liberal nor conservative

4",,,,,
321,0,"Neither liberal nor conservative

4",,,,,
322,0,"Neither liberal nor conservative

4",,,,,
323,0,"Neither liberal nor conservative

4",,,,,
324,0,"Neither liberal nor conservative

4",,,,,
325,0,"Neither liberal nor conservative

4",,,,,
326,0,"Neither liberal nor conservative

4",,,,,
327,0,"Neither liberal nor conservative

4",,,,,
328,0,"Neither liberal nor conservative

4",,,,,
329,0,"Neither liberal nor conservative

4",,,,,
330,0,"Neither liberal nor conservative

4",,,,,
331,0,"Neither liberal nor conservative

4",,,,,
332,0,"Neither liberal nor conservative

4",,,,,
333,0,"Neither liberal nor conservative

4",,,,,
334,0,"Neither liberal nor conservative

4",,,,,
335,0,"Neither liberal nor conservative

4",,,,,
336,0,"Neither liberal nor conservative

4",,,,,
337,0,"Neither liberal nor conservative

4",,,,,
338,0,"Neither liberal nor conservative

4",,,,,
339,0,"Neither liberal nor conservative

4",,,,,
340,0,"Neither liberal nor conservative

4",,,,,
341,0,"Neither liberal nor conservative

4",,,,,
342,0,"Neither liberal nor conservative

4",,,,,
343,0,"Neither liberal nor conservative

4",,,,,
344,0,"Neither liberal nor conservative

4",,,,,
