"","X","Participant","honesty_Q","totMturkStudies","totEconStudies","totPsychStudies","age","gender","education","income","Pol.Affil","threat1","threat2","Q1350","Q.B_P.status_1","Q.B_P.status_2","imp","Val","Condition","HH","EX","Att","NFC","ethnicity","group","n_trials","in_samples","out_samples","In.Est","Out.Est"
"415",415,"R_a3o7eLbTstWmrK1",6,"45000","15000","20000",29,0,4,6,1,2,1,5,25,20,"negIngroup","neg",1,5.6,2.8,0,3.70588235294118,0,"dem",4,3,1,65,63
"416",416,"R_A4EifGXO0Bri1sl",5,"30","5","20",37,1,4,7,2,3,4,4,51,51,"negIngroup","neg",3,4.4,3.5,1,4.35294117647059,0,"dem",8,5,3,71,62
"417",417,"R_a5AmY1OWKnzLTtD",4,"1500","600","300",23,1,2,5,3,3,4,4,36,56,"negIngroup","neg",2,3.6,3.9,1,2.94117647058824,1,"dem",6,3,3,47,42
"418",418,"R_a9pvkhoxafH9vTb",6,"8400","25","1600",45,0,5,7,2,1,1,6,84,47,"posOutgroup","pos",2,4.5,4.5,0,4.76470588235294,1,"dem",6,3,3,77,65
"419",419,"R_AhxyQdDpMHxdfCF",7,"10","30","20",27,1,4,7,2,6,5,6,91,34,"negOutgroup","neg",1,4.3,3.8,1,3.17647058823529,0,"dem",14,7,7,71,60
"420",420,"R_ApU1W7vEyCSTFuh",6,"2500","425","500",27,0,4,4,2,1,1,5,36,35,"posOutgroup","pos",3,5.2,6.4,0,NA,0,"dem",14,7,7,70,72
"421",421,"R_bCOIXT1OPMkX053",1,"1000","1","10",24,1,2,2,2,4,4,4,50,89,"posIngroup","pos",2,NA,4,1,3,1,"dem",20,10,10,72,61
"422",422,"R_bCq7AEqXgaks8aR",5,"1000","200","200",35,0,4,7,3,4,4,3,50,50,"posIngroup","pos",3,NA,3.7,1,3.47058823529412,0,"dem",10,5,5,58,58
"423",423,"R_BJt29ApHpPqxmkV",7,"51000","500","3000",66,1,5,3,2,1,3,7,51,49,"posOutgroup","pos",1,5.8,5.1,0,4.47058823529412,0,"dem",50,50,0,66,69
"424",424,"R_bKF3j0O2sVTBHr3",6,"2000","15","200",49,1,3,4,3,1,3,5,75,30,"negOutgroup","neg",2,4.7,4.4,0,2.52941176470588,0,"dem",7,4,3,65,65
"425",425,"R_blytpCy0KdD18B3",7,"3000","10","50",39,0,5,7,1,2,2,6,73,73,"posOutgroup","pos",3,4.6,4.8,1,3.17647058823529,0,"dem",6,3,3,72,68
"426",426,"R_bQrFWeDRG9UNod3",7,"100","15","25",35,0,4,3,2,4,4,6,90,41,"posOutgroup","pos",3,3.6,3.6,1,NA,0,"dem",13,7,6,80,65
"427",427,"R_BRQwxcCJXPCpAm5",5,"1000","0","30",31,0,4,1,1,4,4,5,NA,40,"negOutgroup","neg",2,4.7,2,1,3.05882352941176,1,"dem",8,5,3,60,69
"428",428,"R_C90FcuTcbqAT1m1",7,"300","2","200",44,0,4,0,3,5,5,3,20,71,"posIngroup","pos",2,3.9,3.5,1,1.88235294117647,1,"dem",10,5,5,74,50
"429",429,"R_C9rVNWPjWesRjMt",6,"400","30","30",31,1,3,5,1,1,2,6,45,70,"negOutgroup","neg",3,5,5,1,3.41176470588235,0,"dem",10,5,5,75,70
"430",430,"R_CgFPBdn58UQ02LT",6,"3000","100","1000",31,0,5,7,1,1,1,3,50,89,"posIngroup","pos",1,4.9,3.3,1,1.82352941176471,0,"dem",10,5,5,67,66
"431",431,"R_cH2XANMA3qOincd",7,"645","10","100",23,0,1,2,1,3,1,7,20,60,"posOutgroup","pos",1,4.9,2.2,0,2,1,"dem",17,9,8,63,66
"432",432,"R_cSEFibr5NGJ63df",6,"600","200","250",26,1,2,7,2,3,2,7,79,33,"posOutgroup","pos",2,3.2,3,1,1.82352941176471,0,"dem",6,3,3,68,61
"433",433,"R_cx0nQOj23wsqC8F",5,"195","0","2",56,0,2,7,2,1,1,7,79,24,"negOutgroup","neg",1,5.7,3.7,1,4.35294117647059,0,"dem",12,6,6,59,67
"434",434,"R_D1TJgtUBU54inHb",7,"7704","20","20",34,1,3,4,3,4,6,3,50,50,"negOutgroup","neg",1,3.6,3.7,1,3.05882352941176,0,"dem",29,15,14,65,68
"435",435,"R_d54mRazKCgxpuh3",7,"800","5","100",36,1,5,7,1,4,4,4,50,50,"posOutgroup","pos",1,4.3,4.5,1,4.23529411764706,0,"dem",11,4,7,58,58
"436",436,"R_D5Bqb51vsVsPZER",6,"150","50","30",27,1,4,7,1,6,5,6,72,60,"posIngroup","pos",3,3.8,4.1,1,2.64705882352941,0,"dem",6,3,3,72,59
"437",437,"R_D81WmlpZKRhIDvP",6,"1000","50","100",53,0,4,6,2,3,4,6,69,69,"posIngroup","pos",1,4.3,5.1,0,3.17647058823529,0,"dem",12,6,6,65,69
"438",438,"R_dmaJAIq7hrgjlpT",6,"500","100","350",61,0,5,0,3,4,4,3,81,92,"posOutgroup","pos",1,5.2,5.3,0,3.64705882352941,0,"dem",11,6,5,60,70
"439",439,"R_eb5A5c6IvvFa3Sx",6,"10000","150","1000",32,0,5,7,1,1,1,5,25,80,"negIngroup","neg",3,3.9,2.7,0,1.88235294117647,0,"dem",4,2,2,65,60
"440",440,"R_eeZbBt3JgX0lqal",5,"12000","100","50",27,1,2,4,3,2,1,2,74,20,"posOutgroup","pos",1,4.5,6.4,0,4.58823529411765,1,"dem",8,4,4,64,74
"441",441,"R_eJNAtbMYxtY6YKt",5,"550","100","200",30,0,4,5,2,3,3,6,62,40,"negOutgroup","neg",3,4.7,2.9,0,3.88235294117647,0,"dem",10,5,5,62,58
